iter	Passed	Remaining
0	65	64995
1	75	37665
2	88	29473
3	102	25425
4	108	21636
5	113	18858
6	118	16839
7	123	15361
8	130	14391
9	140	13958
10	149	13408
11	161	13325
12	172	13127
13	186	13124
14	197	12973
15	208	12819
16	216	12505
17	225	12297
18	240	12417
19	251	12319
20	271	12645
21	281	12493
22	290	12349
23	300	12225
24	314	12251
25	319	11954
26	325	11734
27	345	12007
28	358	11994
29	364	11792
30	377	11792
31	387	11714
32	394	11566
33	402	11449
34	411	11333
35	422	11323
36	432	11252
37	438	11111
38	449	11083
39	458	11000
40	469	10978
41	481	10980
42	488	10881
43	498	10834
44	508	10795
45	519	10782
46	532	10788
47	536	10650
48	541	10518
49	549	10436
50	554	10317
51	560	10211
52	564	10087
53	570	9985
54	579	9955
55	587	9904
56	599	9920
57	613	9964
58	623	9940
59	634	9940
60	650	10009
61	664	10053
62	672	10007
63	681	9973
64	694	9994
65	714	10108
66	731	10186
67	748	10264
68	764	10319
69	784	10421
70	792	10373
71	800	10321
72	811	10300
73	825	10331
74	839	10351
75	850	10340
76	860	10317
77	870	10287
78	878	10247
79	894	10281
80	902	10243
81	913	10225
82	921	10184
83	927	10110
84	947	10198
85	965	10257
86	989	10383
87	997	10334
88	1002	10264
89	1007	10186
90	1011	10105
91	1015	10027
92	1021	9959
93	1024	9878
94	1030	9812
95	1034	9739
96	1040	9690
97	1047	9645
98	1052	9581
99	1057	9521
100	1062	9454
101	1069	9413
102	1077	9387
103	1088	9377
104	1097	9354
105	1106	9332
106	1115	9309
107	1126	9306
108	1137	9294
109	1150	9309
110	1157	9267
111	1163	9224
112	1173	9213
113	1188	9233
114	1198	9220
115	1205	9189
116	1213	9157
117	1222	9135
118	1227	9090
119	1233	9042
120	1237	8987
121	1242	8942
122	1252	8927
123	1260	8904
124	1270	8891
125	1277	8861
126	1285	8834
127	1300	8858
128	1309	8841
129	1317	8816
130	1322	8774
131	1333	8770
132	1342	8753
133	1349	8723
134	1358	8703
135	1366	8681
136	1374	8657
137	1381	8626
138	1388	8599
139	1402	8614
140	1413	8611
141	1420	8584
142	1429	8564
143	1441	8570
144	1447	8538
145	1452	8495
146	1460	8475
147	1464	8429
148	1471	8406
149	1479	8386
150	1490	8378
151	1501	8374
152	1514	8383
153	1525	8381
154	1534	8363
155	1544	8354
156	1549	8321
157	1557	8300
158	1562	8266
159	1572	8253
160	1576	8215
161	1587	8211
162	1594	8188
163	1603	8172
164	1610	8151
165	1622	8151
166	1635	8155
167	1642	8134
168	1655	8137
169	1660	8105
170	1664	8069
